Valor,Desde,Hasta,Año,Mes
3.112,2025-11-20,2025-11-24,2025,11
3.087,2025-11-19,2025-11-19,2025,11
3.291,2025-11-18,2025-11-18,2025,11
3.205,2025-11-17,2025-11-17,2025,11
3.248,2025-11-14,2025-11-16,2025,11
3.359,2025-11-13,2025-11-13,2025,11
3.452,2025-11-12,2025-11-12,2025,11
3.452,2025-11-12,2025-11-12,2025,11
3.427,2025-11-11,2025-11-11,2025,11
3.667,2025-11-10,2025-11-10,2025,11
4.037,2025-11-07,2025-11-09,2025,11
4.061,2025-11-05,2025-11-06,2025,11
4.389,2025-11-04,2025-11-04,2025,11
4.123,2025-11-03,2025-11-03,2025,11
4.875,2025-10-31,2025-11-02,2025,11
4.795,2025-10-30,2025-10-30,2025,10
4.746,2025-10-29,2025-10-29,2025,10
4.808,2025-10-28,2025-10-28,2025,10
4.869,2025-10-27,2025-10-27,2025,10
5.233,2025-10-24,2025-10-26,2025,10
5.646,2025-10-23,2025-10-23,2025,10
5.547,2025-10-22,2025-10-22,2025,10
5.122,2025-10-21,2025-10-21,2025,10
4.592,2025-10-20,2025-10-20,2025,10
4.887,2025-10-17,2025-10-19,2025,10
4.370,2025-10-16,2025-10-16,2025,10
4.352,2025-10-15,2025-10-15,2025,10
4.024,2025-10-14,2025-10-14,2025,10
4.031,2025-10-13,2025-10-13,2025,10
3.982,2025-10-09,2025-10-13,2025,10
4.043,2025-10-08,2025-10-08,2025,10
4.043,2025-10-07,2025-10-07,2025,10
3.908,2025-10-06,2025-10-06,2025,10
3.871,2025-10-03,2025-10-05,2025,10
3.982,2025-10-02,2025-10-02,2025,10
4.290,2025-10-01,2025-10-01,2025,10
4.579,2025-09-30,2025-09-30,2025,9
4.475,2025-09-29,2025-09-29,2025,9
4.463,2025-09-26,2025-09-28,2025,9
4.370,2025-09-25,2025-09-25,2025,9
4.265,2025-09-24,2025-09-24,2025,9
4.278,2025-09-23,2025-09-23,2025,9
4.401,2025-09-22,2025-09-22,2025,9
4.549,2025-09-19,2025-09-21,2025,9
5.023,2025-09-18,2025-09-18,2025,9
5.289,2025-09-17,2025-09-17,2025,9
5.819,2025-09-16,2025-09-16,2025,9
5.572,2025-09-15,2025-09-15,2025,9
5.449,2025-09-12,2025-09-14,2025,9
5.64,2025-09-11,2025-09-11,2025,9
5.578,2025-09-10,2025-09-10,2025,9
5.492,2025-09-09,2025-09-09,2025,9
5.738,2025-09-08,2025-09-08,2025,9
5.72,2025-09-05,2025-09-07,2025,9
5.824,2025-09-04,2025-09-04,2025,9
5.461,2025-09-03,2025-09-03,2025,9
5.757,2025-09-02,2025-09-02,2025,9
5.146,2025-09-01,2025-09-01,2025,9
5.239,2025-08-29,2025-08-31,2025,8
5.307,2025-08-28,2025-08-28,2025,8
5.27,2025-08-27,2025-08-27,2025,8
5.338,2025-08-26,2025-08-26,2025,8
4.9,2025-08-25,2025-08-25,2025,8
4.604,2025-08-22,2025-08-24,2025,8
4.376,2025-08-21,2025-08-21,2025,8
4.53,2025-08-20,2025-08-20,2025,8
4.13,2025-08-19,2025-08-19,2025,8
4.019,2025-08-18,2025-08-18,2025,8
3.889,2025-08-14,2025-08-17,2025,8
3.766,2025-08-13,2025-08-13,2025,8
3.883,2025-08-12,2025-08-12,2025,8
3.827,2025-08-11,2025-08-11,2025,8
3.747,2025-08-08,2025-08-10,2025,8
3.63,2025-08-07,2025-08-07,2025,8
3.482,2025-08-06,2025-08-06,2025,8
3.494,2025-08-05,2025-08-05,2025,8
3.272,2025-08-04,2025-08-04,2025,8
3.334,2025-08-01,2025-08-03,2025,8
3.42,2025-07-31,2025-07-31,2025,7
3.415,2025-07-30,2025-07-30,2025,7
3.396,2025-07-29,2025-07-29,2025,7
3.174,2025-07-28,2025-07-28,2025,7
3.1,2025-07-25,2025-07-27,2025,7
2.976,2025-07-24,2025-07-24,2025,7
2.958,2025-07-23,2025-07-23,2025,7
2.835,2025-07-22,2025-07-22,2025,7
